x,y,z
98.06,88.91,34.10
-76.62,-69.48,10.18
-67.01,68.38,14.36
-14.89,-38.56,37.03
92.05,27.60,37.80
-44.91,-4.86,43.07
-47.72,-34.55,45.68
6.80,-35.31,28.05
0.37,27.15,12.41
89.31,-76.97,44.59
32.92,79.01,33.46
23.52,-12.55,11.11
86.32,-9.20,23.82
-45.21,-53.46,15.07
72.52,34.17,30.39
-20.26,-56.54,36.65
-97.32,41.56,11.19
40.24,88.34,49.26
-98.13,73.41,20.59
-81.73,-76.15,45.35
-84.25,85.99,27.45
-39.28,-13.41,27.29
-5.62,27.55,18.23
-20.63,-23.67,45.04
-89.40,36.97,22.88
-23.31,-6.06,13.10
49.32,59.93,24.74
-83.26,90.13,20.92
94.98,98.33,36.47
-52.30,-11.91,43.20
