x,y,z
-74.29,-6.59,12.21
-0.14,-44.57,85.52
20.30,-83.38,51.97
-94.26,79.19,21.45
-70.41,-14.01,76.53
85.64,-70.46,27.61
-85.92,34.67,15.57
-74.05,-59.56,63.86
89.67,80.29,90.62
24.38,-56.57,12.42
-26.20,-93.39,82.46
2.28,-59.85,27.12
32.57,-30.85,18.36
-44.94,-6.22,11.62
-72.41,81.23,36.37
57.61,39.47,75.44
34.07,-32.14,54.39
2.48,-96.62,86.76
63.35,-68.04,29.55
9.82,99.29,38.37
96.18,-8.06,33.23
-59.10,38.21,98.05
10.75,-89.07,94.69
-3.28,-93.19,40.66
-29.35,69.18,49.24
18.32,17.58,38.29
-52.94,-38.26,77.19
60.44,-36.52,13.60
73.47,-82.15,16.07
-74.25,-65.47,46.36
